monetary,emissions,indipendence,PM_emissions,monetary.w,emissions.w,indipendence.w,PM_emissions.w,pv_planned_ground,pv_planned_roof,wind_planned_onshore,wind_planned_offshore,P2Heat_planned,supply_heat_solid,supply_heat_oil,supply_heat_gpl,battery,supply_grid_power.p,pv_existing.p,pv_planned_ground.p,pv_planned_roof.p,wind_existing.p,wind_planned_onshore.p,wind_planned_offshore.p,P2Heat_existing.p,P2Heat_planned.p,supply_heat_solid.p,supply_heat_oil.p,supply_heat_gpl.p,battery.p,runtime,provenance
66554204.527,142702386.66,22577018.0,3608323.218,1,0.2852429725050519,3.139052431604082,0.1922790062545644,48968.0,35543.697,100000.0,5357.4451,44060.143,9457.5968,38000.0,40000.0,17582.219,521702179.0551527,59757500.0,58524105.199999966,42480048.94079091,316080959.2000001,343566260.0,12909688.404337475,139549204.01907954,362432704.0262278,30604.1876,1224505.3304900003,26560250.36480003,5534628.51794508,00:07:13,sets_SA_20231108_0857
128870727.19,89241483.76,14463580.0,36140441.96,1,1.9660705580336968,27.930572268124124,0.5417405054215592,48968.0,185236.6,100000.0,100000.0,71481.995,56000.0,0.0,29457.023,200000.0,340479254.2156519,59757500.0,58524105.199999966,221385522.3906001,316080959.2000001,343566260.0,240967253.58581507,37019961.19331999,445200537.2488683,44739129.28631005,0.0,2837641.1125600035,32979400.705600005,00:06:05,sets_SA_20231108_0857
122823689.92999998,95428624.31,15065734.0,2043010.452,1,0.9479155397292378,14.30073260184916,0.5449700696752395,48968.0,185236.6,100000.0,100000.0,67112.581,0.0,24405.159,40000.0,171298.66,351552553.2576116,59757500.0,58524105.199999966,221385522.50060016,316080959.2000001,343566260.0,240967253.5864851,60291784.27270008,453667385.7950247,0.0,718078.9285399998,15120021.347399984,31309843.30143302,00:05:51,sets_SA_20231108_0857
71862711.69699998,131864649.88,21748043.0,31902242.2201,1,0.3470608140183093,3.086980319325665,0.0205412164286633,48968.0,50018.654,100000.0,10174.288,38443.227,38467.264,14607.249,40000.0,23529.412,503970251.5232798,59757500.0,58524105.199999966,59779794.8721478,316080959.2000001,343566260.0,24516701.70493641,161605533.6375804,325538806.56687886,39366252.19126987,62296.012,3224383.187559999,6915215.340778001,00:07:35,sets_SA_20231108_0857
82586478.46,123231380.17,20331778.0,652760.927,1,0.4945401176485086,3.1838411041031467,1.5969296803705115,48968.0,87918.331,100000.0,25836.554,67459.827,0.0,24057.913,40000.0,37282.121,469026771.90980446,59757500.0,58524105.199999966,105075593.62865196,316080959.2000001,343566260.0,62257634.37057818,66031534.36710007,458702129.47302514,0.0,156985.39680000002,4906620.086800002,9807787.6991,00:06:53,sets_SA_20231108_0857
92944045.005,110359629.3963,18063015.0,111227773.2035,1,0.4911400686092553,3.814270513531103,0.0021448210450971,48968.0,112306.98,100000.0,31652.978,27982.817,56000.0,7534.9227,40000.0,47667.546,422965689.9647256,59757500.0,58524105.199999966,134223692.10742092,316080959.2000001,343566260.0,76273311.84369597,153982951.07684422,235428814.5687312,138850241.38382998,20990.81708,1514268.39845,12295406.084389,00:07:15,sets_SA_20231108_0857
125582298.25000004,101399645.0,14439597.0,6489537.53,1,1.0919850792738923,28.32106526152075,1.2139598859658638,48968.0,185236.6,100000.0,100000.0,69074.568,0.0,38000.0,40000.0,200000.0,340391611.09098643,59757500.0,58524105.199999966,221385522.50060016,316080959.2000001,343566260.0,240967253.5864851,41597579.96280011,438116040.847198,0.0,7409136.166570003,42674513.85173999,33795171.89120601,00:05:54,sets_SA_20231108_0857
134575540.97,84647107.5,13154573.0,126400188.2,1,1.0394909069794165,18.239043601137272,0.1995512348864432,48968.0,185236.6,100000.0,100000.0,47546.105,56000.0,0.0,40000.0,200000.0,311225817.15513486,59757500.0,58524105.199999966,221385522.3906001,316080959.2000001,343566260.0,240967253.58581507,62531241.29815003,296812123.9914224,155695672.1235199,0.0,14758232.080939991,33402756.010746013,00:05:54,sets_SA_20231108_0857
120879466.96,93906246.755,15516303.0,383798.263,1,1.613445788339381,1.156870315915878,0.7937097257519807,48968.0,185236.6,100000.0,100000.0,73714.561,0.0,17803.179,40000.0,123173.65,358273675.522402,59757500.0,58524105.199999966,221385522.47060013,316080959.2000001,343566260.0,240967253.5845449,51343442.11074007,475476424.2639936,0.0,87806.68856,2889595.7261399995,24492350.205625303,00:06:34,sets_SA_20231108_0857
62548658.32000001,217401787.0,20397740.0,50799485.9,1,0.0,4.018581489960232,0.0,48968.0,0.0,100000.0,0.0,0.0,53517.74,38000.0,40000.0,4881.1698,473841956.5876911,59757500.0,58524105.199999966,0.0,316080959.2000001,343566260.0,0.0,163955735.6676704,0.0,4758032.0799100045,90131132.92162012,270952368.9270396,1966747.2544347348,00:06:56,sets_SA_20231108_0857
