monetary,emissions,indipendence,PM_emissions,monetary.w,emissions.w,indipendence.w,PM_emissions.w,pv_planned_ground,pv_planned_roof,wind_planned_onshore,wind_planned_offshore,P2Heat_planned,supply_heat_solid,supply_heat_oil,supply_heat_gpl,battery,supply_grid_power.p,pv_existing.p,pv_planned_ground.p,pv_planned_roof.p,wind_existing.p,wind_planned_onshore.p,wind_planned_offshore.p,P2Heat_existing.p,P2Heat_planned.p,supply_heat_solid.p,supply_heat_oil.p,supply_heat_gpl.p,battery.p,runtime,provenance
124901076.03,76417342.6,20459121.0,157802050.06,1,2.670117426694872,18.11934143322951,0.3147135126130921,48968.0,185236.6,100000.0,100000.0,54205.086,56000.0,0.0,40000.0,200000.0,286697306.89918804,72421550.0,70926769.208,268302433.6638001,316080959.2000001,343566260.0,240967253.58581507,46888241.45570001,279336841.17939687,196146184.5871797,0.0,7426002.101399997,43511562.448530026,00:05:44,sets_SA_20231108_0857
112152957.92000002,87398536.872,25122255.0,1544245.581,1,3.0,0.0,0.6882000326777105,48968.0,185236.6,100000.0,100000.0,77513.208,24840.407,0.0,29164.125,170000.0,335901258.17367095,72421550.0,70926769.208,268302433.6638001,316080959.2000001,343566260.0,240967253.58581507,43380859.170560114,484271985.0130065,1890260.677399999,0.0,254164.0775,33322810.03467541,00:05:52,sets_SA_20231108_0857
115331209.70999998,113921716.2,19853583.0,76200322.84,1,0.6807073177457403,14.344674158870516,0.2157653075578099,48968.0,185236.6,100000.0,100000.0,43000.074,56000.0,30519.643,40000.0,200000.0,282894302.11794347,72421550.0,70926769.208,268302433.6638001,316080959.2000001,343566260.0,240967253.58581507,74499365.40188007,226648795.7294136,69652903.52240002,6097914.043450005,152898291.1023341,45273377.03337796,00:05:22,sets_SA_20231108_0857
118101274.01,110750508.5,19878369.0,75960741.34,1,1.5990163879535542,30.0,0.543198820145983,48968.0,185236.6,100000.0,100000.0,60192.168,56000.0,37190.311,40000.0,200000.0,283611780.6211931,72421550.0,70926769.208,268302433.6638001,316080959.2000001,343566260.0,240967253.58581507,40440598.5461901,272167858.9781251,71494198.29488,6178002.216510001,139516610.73742995,45300259.79035502,00:06:02,sets_SA_20231108_0857
102038466.59000002,94382234.416,26348961.0,942356.591,1,0.670906813591577,1.4203075433633074,0.6491779019279249,48968.0,185236.6,100000.0,96324.666,63002.306,0.0,28515.434,40000.0,64013.65,355875706.6459434,72421550.0,70926769.208,268302433.94380003,316080959.2000001,343566260.0,232110901.3911424,77552481.42228991,444935328.9589904,0.0,240309.3572,7069150.171499997,22031687.42995309,00:06:27,sets_SA_20231108_0857
112508455.0,110724131.6,21699462.0,15052739.1,1,0.0,20.600616673760623,3.0,48968.0,185236.6,100000.0,100000.0,62057.727,0.0,38000.0,40000.0,200000.0,309618586.74899834,72421550.0,70926769.208,268302433.88380003,316080959.2000001,343566260.0,240967253.5845449,46975337.34784001,367263484.8390352,0.0,31121554.19089597,84436893.50416994,45735193.88711999,00:05:52,sets_SA_20231108_0857
112505491.45900002,87062361.472,24433110.0,9692458.692,1,1.831629184692494,6.287752430967592,0.3752982444484041,48968.0,185236.6,100000.0,100000.0,69896.071,43911.482,0.0,17710.188,187000.0,334764229.68599474,72421550.0,70926769.208,268302433.88380003,316080959.2000001,343566260.0,240967253.5845449,53545008.823810056,464052630.88835466,12105971.052909998,0.0,93659.9922,39821044.91662749,00:06:13,sets_SA_20231108_0857
110201301.94000004,101530447.0,22845009.0,9558205.64,1,0.9089492643138404,9.22808635005726,0.3355406040577037,48968.0,185236.6,100000.0,100000.0,58811.353,5016.5243,38000.0,40000.0,183506.57,322323232.28654754,72421550.0,70926769.208,268302433.94380003,316080959.2000001,343566260.0,240967253.5864851,61402918.892620176,398945126.3632005,821316.6238600019,11753272.965459991,56874635.43468995,43098616.28008004,00:05:08,sets_SA_20231108_0857
112782695.953,82596879.933,23360734.0,67783400.844,1,2.247408298983904,0.9653009307029627,0.1354242903344645,48968.0,185236.6,100000.0,100000.0,49580.251,56000.0,0.0,25937.489,154081.95,317494937.75687265,72421550.0,70926769.208,268302433.6638001,316080959.2000001,343566260.0,240967253.58581507,64223333.53115993,380646325.3785354,84736836.11723989,0.0,190775.5696,32005037.493485067,00:06:15,sets_SA_20231108_0857
90782924.4,105628929.76,29835177.0,1341114.831,1,0.6530242397488599,0.7501355721636092,0.1968960031131263,48968.0,185236.6,100000.0,49908.488,58323.471,0.0,33194.269,40000.0,31015.851,396111943.0365982,72421550.0,70926769.208,268302433.94380003,316080959.2000001,343566260.0,120263112.84455164,90822439.87687014,428573404.2950168,0.0,365489.1197,10035935.951000003,11359856.362166967,00:06:18,sets_SA_20231108_0857
