monetary,emissions,indipendence,PM_emissions,monetary.w,emissions.w,indipendence.w,PM_emissions.w,pv_planned_ground,pv_planned_roof,wind_planned_onshore,wind_planned_offshore,P2Heat_planned,supply_heat_solid,supply_heat_oil,supply_heat_gpl,battery,supply_grid_power.p,pv_existing.p,pv_planned_ground.p,pv_planned_roof.p,wind_existing.p,wind_planned_onshore.p,wind_planned_offshore.p,P2Heat_existing.p,P2Heat_planned.p,supply_heat_solid.p,supply_heat_oil.p,supply_heat_gpl.p,battery.p,runtime,provenance
90213054.5056,86603073.26277,17217466.0,73636251.83441,1,0.4551268675529126,3.5566954333863423,0.017047966856293,48968.0,185236.6,100000.0,12590.897,34342.589,56000.0,1175.151,40000.0,81073.346,331978385.9693638,68717900.0,67044762.88000002,253933100.93080065,350458617.6000004,380423197.8344,37013614.82920439,148195961.9925802,288555757.267113,91902963.0067404,1200.36965,1141386.5933200002,22330015.21007905,00:08:46,sets_SA_20231108_0857
109416328.941,73584216.4434,14325139.0,149732627.5093,1,0.5844284053281136,6.702755880855702,0.0295676336838978,48968.0,185236.6,100000.0,46818.023,31564.901,56000.0,3952.8391,40000.0,139457.7,276101365.87737656,68717900.0,67016168.22165001,254007915.87480065,350458617.6000004,380373604.707,137586297.30183506,125697838.1785454,210880872.730253,186104978.56681103,22567.102200000005,7091012.752013993,31487704.741183985,00:06:19,sets_SA_20231108_0857
121052861.51,72857104.9,13798474.0,66661520.7,1,0.9745259993591416,15.7741639997525,0.2500575256682045,48968.0,185236.6,100000.0,100000.0,57250.348,56000.0,0.0,40000.0,200000.0,268304607.44217423,68717900.0,67011992.345100015,253994584.23180065,350458617.6000004,380290544.9426,293840362.80154735,61733389.56883016,374410961.291588,81390371.07445014,0.0,12262548.16768,36082121.52949001,00:05:39,sets_SA_20231108_0857
110691647.26,115083240.0,13202734.0,24647456.25,1,0.2905890491524101,11.178890648728816,0.2465988945159409,48968.0,185236.6,100000.0,88615.927,37278.909,16238.831,38000.0,40000.0,169373.71,254990258.41304508,68717900.0,67012442.565600015,254000559.30580065,350458617.6000004,380313966.13040006,260394672.49458945,107323589.86170185,234099621.3771437,269016.97715999995,38222357.72393996,149882681.91766998,35084974.96076998,00:06:23,sets_SA_20231108_0857
79316276.07,100518858.509,20218134.0,591147.1869999999,1,0.898086988370561,0.0,1.1254759985579534,48968.0,137991.54,100000.0,5378.9389,68632.074,0.0,22885.666,40000.0,34000.0,382137575.5213056,68717900.0,67036642.23340002,189252638.0054305,350458617.6000004,380417248.6279,15810902.17659442,63125947.53401001,462085474.9380051,0.0,137802.032,4448044.495999998,10888924.926389398,00:05:45,sets_SA_20231108_0857
95759696.87999998,86328782.958,17258563.0,445706.25,1,1.3838065612535673,0.912319823930129,0.9624700860072416,48968.0,185236.6,100000.0,33202.467,71971.79,0.0,19545.95,40000.0,118029.98,328661001.0837315,68717900.0,67021591.832300015,253982744.9478005,350458617.6000004,380381431.2459,97575159.0434694,55219572.10749988,471120097.16302186,0.0,103491.6316,3354109.267600001,27200177.82947196,00:12:10,sets_SA_20231108_0857
102318838.28,76250102.50600001,15339622.0,178695998.2644,1,1.3937634084328017,0.0,0.0,48968.0,185236.6,100000.0,16928.156,27017.532,56000.0,8500.2085,40000.0,100437.96,291974242.95402205,68717900.0,67028563.76300002,253970571.0398006,350458617.6000004,380416310.175,49755696.22283195,141422686.1657791,163788113.5835258,223256688.16193,25817.2461,1303966.6134,24591707.67745177,00:06:30,sets_SA_20231108_0857
76706850.66,103484309.909,20448805.0,1273258.774,1,0.2370285012685901,2.909354353029478,1.1613359779773258,48968.0,122572.99,100000.0,4281.5286,59032.466,0.0,32485.274,40000.0,41469.53,388377367.8231169,68717900.0,67051471.20310002,168107602.2614406,350458617.6000004,380481841.2362,12585213.394799525,88733691.75242037,431188302.80802655,0.0,344101.8325,9531172.130499989,14376060.054705951,00:06:15,sets_SA_20231108_0857
85326770.31400001,98233042.08,18047693.0,3761262.466,1,0.0,5.599162353482615,0.887582056922334,48968.0,185122.14,100000.0,13323.338,46262.101,7255.6387,38000.0,40000.0,82849.822,349439053.3360546,68377600.0,66966286.33600002,253164146.1514698,349581604.60000044,379980005.0,39123048.66304632,128044857.22732008,372695011.37152463,19594.39714,1300425.96719,27737378.75887997,25521135.737286016,00:06:22,sets_SA_20231108_0857
103936925.14,81809834.374,16265052.0,617145.304,1,1.0900728078237367,4.626765741200095,0.5990020164093491,48968.0,185236.6,100000.0,63895.132,68121.265,0.0,23396.476,40000.0,142274.35,309982895.5155932,68717900.0,67048112.539200015,253965898.6358005,350458617.6000004,380338509.51690006,187757783.75073543,64387340.31511993,460622485.147986,0.0,145740.95810000005,4641704.391700001,30250050.75876401,00:06:02,sets_SA_20231108_0857
