monetary,emissions,indipendence,PM_emissions,monetary.w,emissions.w,indipendence.w,PM_emissions.w,pv_planned_ground,pv_planned_roof,wind_planned_onshore,wind_planned_offshore,P2Heat_planned,supply_heat_solid,supply_heat_oil,supply_heat_gpl,battery,supply_grid_power.p,pv_existing.p,pv_planned_ground.p,pv_planned_roof.p,wind_existing.p,wind_planned_onshore.p,wind_planned_offshore.p,P2Heat_existing.p,P2Heat_planned.p,supply_heat_solid.p,supply_heat_oil.p,supply_heat_gpl.p,battery.p,runtime,provenance
58425678.59,155912781.5,24003320.0,7103381.029999999,1,0.1359077488856138,2.101523422670921,0.141267087120773,48968.0,0.0,100000.0,0.0,31226.92,22290.82,38000.0,40000.0,0.0,546529095.9819138,72421550.0,70926769.208,0.0,312867643.000001,340073525.0,0.0,204557404.4785802,270897846.2133576,129852.00031,3612642.421239996,50599524.9882901,0.0,00:06:55,sets_SA_20231108_0857
108072310.619,104789348.0033,17821654.0,197070.8121,1,2.064085731112383,4.967917888351795,2.999202770147115,48968.0,185236.6,100000.0,52542.585,81391.133,0.0,10126.607,40000.0,153930.53,401545617.2117297,72421550.0,70926769.208,268302433.87380004,312867643.000001,340073525.0,132437919.76723053,36069315.53417997,492198667.6920099,0.0,34520.2664,1494765.8930999998,27440220.188042995,00:05:56,sets_SA_20231108_0857
80979085.86999999,118033624.62,20100647.0,11805714.041,1,0.9800818538958248,0.5343779495277323,0.1095626567916087,48968.0,160995.7,100000.0,0.0,52891.135,40738.524,0.0,37888.081,47587.267,453451026.2448735,72421550.0,70926769.208,233191155.82833,312867643.000001,340073525.0,0.0,107724167.55570978,406856445.317987,14676918.27008003,0.0,539737.0359,12747682.54918702,00:06:21,sets_SA_20231108_0857
104009794.405,130374852.0,16270891.0,16373730.213,1,0.0,17.486207132367404,1.3462924981280588,48968.0,185236.6,100000.0,47529.816,46933.526,6584.214,38000.0,40000.0,153870.41,375563513.7550733,72421550.0,70926769.208,268302433.90380007,312867643.000001,340073525.0,119802821.44984108,76724243.85925002,327218119.61137587,16675.0502,28341925.414849967,97496305.09237012,31597250.22737303,00:06:26,sets_SA_20231108_0857
100043804.165,105171671.205,17830085.0,30008190.327,1,2.4100480799451027,0.0,0.1432659442044186,48968.0,185236.6,100000.0,31265.02,54102.123,55685.346,0.0,21730.271,141176.47,404386544.8322718,72421550.0,70926769.208,268302433.90380007,312867643.000001,340073525.0,78806061.61574379,80167393.49068116,411999160.8770354,37507327.98140016,0.0,123386.0197,26508778.68762598,00:06:20,sets_SA_20231108_0857
93676130.531,104914561.3787,17752604.0,137363868.7621,1,1.2051580565230262,0.0,0.0,48968.0,184420.77,100000.0,0.0,27019.574,56000.0,8498.1664,40000.0,68000.0,402222365.5493197,72421550.0,70926769.208,267120754.80604053,312867643.000001,340073525.0,0.0,122402604.2293476,234496900.2354169,171568212.39196643,25807.035600000003,1303748.1091199997,17090957.402989913,00:06:55,sets_SA_20231108_0857
83719003.559,114094016.002,19214973.0,86080758.3861,1,1.0234675739807555,0.0,0.0,48968.0,148635.85,100000.0,0.0,31170.313,56000.0,4347.427,40000.0,42693.1,437917352.66944367,72421550.0,70926769.208,215288776.17481,312867643.000001,340073525.0,0.0,150694478.94794318,270671977.53996575,107499612.97413984,7727.902179999999,923471.3791599995,11585704.08106947,00:06:30,sets_SA_20231108_0857
106584879.572,96200105.602,16226152.0,205274974.9117,1,0.918046896601509,6.95316403551621,0.0,48968.0,185236.6,100000.0,7438.2306,23192.562,56000.0,12325.178,40000.0,133764.42,367628111.1980325,72421550.0,70926769.208,268302433.87380004,312867643.000001,340073525.0,18748673.803749897,137135106.36594042,133909614.266205,256317309.8041691,47711.6928,2387526.8847,29244813.570961177,00:06:49,sets_SA_20231108_0857
82849620.64,114946507.0046,19359486.0,80809891.14297,1,1.0157327607704398,0.0,0.0,48968.0,145871.84,100000.0,0.0,31297.981,56000.0,4219.7592,40000.0,41620.413,441205893.5973061,72421550.0,70926769.208,211285301.0080194,312867643.000001,340073525.0,0.0,156251027.638982,271715345.2710333,100909656.26167996,7326.601000000001,913914.5938000004,11329824.076337462,00:06:40,sets_SA_20231108_0857
87396196.16,171120023.0,16207089.0,37662501.9,1,0.0,10.08314139577167,0.4046040912785718,48968.0,185236.6,100000.0,0.0,15676.801,37840.939,38000.0,40000.0,110737.38,371200686.20707285,72421550.0,70926769.208,268302433.87380004,312867643.000001,340073525.0,0.0,150287113.30500856,92843408.4022461,537568.5041000001,70205245.18813007,215923933.8674975,29415548.43868502,00:07:14,sets_SA_20231108_0857
105332849.625,104704871.205,17869987.0,6098438.727,1,2.8365303012847543,0.0,0.238450778164089,48968.0,185236.6,100000.0,51063.866,62265.368,47522.102,0.0,21730.271,153000.0,402591152.84992737,72421550.0,70926769.208,268302433.90380007,312867643.000001,340073525.0,128710686.15460806,79573564.62241004,442493690.827971,7606629.763759993,0.0,123386.0197,27344321.7471753,00:05:56,sets_SA_20231108_0857
126854153.17,94327595.766,15992204.0,63961483.396,1,3.0,6.131510530050744,0.2484677591963353,48968.0,185236.6,100000.0,100000.0,54620.014,56000.0,0.0,20897.726,200000.0,362686065.4542373,72421550.0,70926769.208,268302433.87380004,312867643.000001,340073525.0,252058247.48102072,51926345.65056285,397785893.2828655,79969372.90873007,0.0,115657.61390000004,29882900.769035,00:06:18,sets_SA_20231108_0857
113492212.878,101058201.37,17044327.0,24426443.653,1,1.1582242235487925,12.370913272802785,0.2623341144937088,48968.0,185236.6,100000.0,69135.499,61733.016,56000.0,0.0,13784.724,174136.56,388285272.1122213,72421550.0,70926769.208,268302433.90380007,312867643.000001,340073525.0,174261726.35723525,65524924.82287996,433379993.7196467,30480559.834540028,0.0,411790.84933999984,30213057.191308007,00:06:24,sets_SA_20231108_0857
