monetary,emissions,indipendence,PM_emissions,monetary.w,emissions.w,indipendence.w,PM_emissions.w,pv_planned_ground,pv_planned_roof,wind_planned_onshore,wind_planned_offshore,P2Heat_planned,supply_heat_solid,supply_heat_oil,supply_heat_gpl,battery,supply_grid_power.p,pv_existing.p,pv_planned_ground.p,pv_planned_roof.p,wind_existing.p,wind_planned_onshore.p,wind_planned_offshore.p,P2Heat_existing.p,P2Heat_planned.p,supply_heat_solid.p,supply_heat_oil.p,supply_heat_gpl.p,battery.p,runtime,provenance
101800375.90000002,86172704.1,20485829.0,5475186.5,1,0.6850765681185357,13.847804170854854,1.6726151817981405,48968.0,185236.6,100000.0,100000.0,66822.526,0.0,38000.0,40000.0,200000.0,289416367.9272991,72421550.0,70926769.208,268302433.87380004,350458617.6000004,380933280.0,294241174.0771071,52648908.98691999,434978314.4610061,0.0,8190460.395940001,33979586.35151001,44068474.13280502,00:06:08,sets_SA_20231108_0857
102840357.68,73169435.033,20408592.0,63103017.322,1,2.722853538086055,0.0,0.1341086561241488,48968.0,185236.6,100000.0,100000.0,49340.97,56000.0,0.0,26176.771,169249.13,281231351.6284802,72421550.0,70926769.208,268302433.87380004,350458617.6000004,380933280.0,294241174.0764674,74157687.63086008,376561482.2670383,78883019.21232982,0.0,195082.6316,35219916.63716047,00:06:06,sets_SA_20231108_0857
87071618.72999999,127932393.0,19817258.0,27964039.19,1,0.080728942897013,4.526809779698782,0.2147365086543902,48968.0,185236.6,100000.0,71576.791,20180.79,33336.95,38000.0,40000.0,94117.647,280983721.0459135,72421550.0,70926769.208,268302433.7338001,350458617.6000004,380933280.0,210608389.0904359,181016617.1093816,136817296.8522115,629304.5670723,44947079.78104598,166386971.44168648,33464767.838330004,00:06:43,sets_SA_20231108_0857
67586739.86,145692983.1,37697682.0,12620168.3,1,0.0,0.0679987070182583,0.1723189896741119,48968.0,0.0,100000.0,0.0,16936.238,36581.502,38000.0,40000.0,0.0,467089665.580536,72421550.0,70926769.208,0.0,350458617.6000004,380933280.0,0.0,286413957.0270576,148356010.73402405,483293.2273,11029046.412199996,83514963.93364014,0.0,00:06:24,sets_SA_20231108_0857
76505143.7105,95737334.95361,27627456.0,37390114.009182,1,0.6594228179519717,0.0,0.0,48968.0,185236.6,100000.0,12167.138,34970.957,56000.0,546.78263,40000.0,14207.559,367563067.1572857,72421550.0,70926769.208,268302433.87380004,350458617.6000004,380933280.0,35800730.18708578,181910392.18362013,300560472.8609806,46649843.11756003,546.78263,676011.0164199999,5842497.30523996,00:06:25,sets_SA_20231108_0857
98035803.81000005,89959770.2,20475598.0,7363363.7,1,0.5715410113749506,7.485440704152551,0.5145676064917897,48968.0,185236.6,100000.0,100000.0,55350.819,0.0,38000.0,40000.0,165831.37,289673570.270387,72421550.0,70926769.208,268302433.89380008,350458617.6000004,380933280.0,294241174.0792273,77937828.00396016,395052157.93730366,0.0,8866512.372170001,47940770.33167,41213085.764215,00:07:26,sets_SA_20231108_0857
84294811.08000001,86966230.1549,23919106.0,89769411.4722,1,0.4526854049402375,1.6485002802666209,0.0,48968.0,185236.6,100000.0,26521.544,30038.271,56000.0,5479.4695,40000.0,49097.089,332376208.94518965,72421550.0,70926769.208,268302433.7338001,350458617.6000004,380933280.0,78037301.07103518,165140564.98574954,250574329.267726,111913169.01581971,12256.0722,2156952.9243100006,20450328.767134976,00:06:21,sets_SA_20231108_0857
93957821.96,82753234.53,22847977.0,597878.618,1,0.6585964713377681,2.6333668735339435,1.5820137427116083,48968.0,185236.6,100000.0,91665.239,68497.769,0.0,23019.971,40000.0,94562.128,313757288.559503,72421550.0,70926769.208,268302433.87380004,350458617.6000004,380933280.0,269716875.206445,63456847.98789006,461702369.4879916,0.0,139682.30560000002,4498369.8361,30583203.12232996,00:06:27,sets_SA_20231108_0857
101031568.209,72618325.3415,19767053.0,145577678.6754,1,0.6900043171646792,2.674086393070432,0.0,48968.0,185236.6,100000.0,85309.158,27934.227,56000.0,7583.5133,40000.0,99987.439,276934035.2539631,72421550.0,70926769.208,268302433.7338001,350458617.6000004,380933280.0,251014666.9930785,153111822.85221997,192589543.23584083,181662424.9802007,21233.77011,2412246.137389998,31211048.66254596,00:07:12,sets_SA_20231108_0857
95857674.88,85544593.98,21493195.0,3751041.34,1,0.5810532426099555,4.986602865439028,0.3454529556757997,48968.0,185236.6,100000.0,100000.0,56210.06,0.0,35307.68,40000.0,133439.05,300492664.60410506,72421550.0,70926769.208,268302433.87380004,350458617.6000004,380933280.0,294241174.0771071,86612500.75180969,414158496.064408,0.0,2525439.3033000026,26500831.65026,37810215.56904998,00:06:11,sets_SA_20231108_0857
