monetary,emissions,indipendence,PM_emissions,monetary.w,emissions.w,indipendence.w,PM_emissions.w,pv_planned_ground,pv_planned_roof,wind_planned_onshore,wind_planned_offshore,P2Heat_planned,supply_heat_solid,supply_heat_oil,supply_heat_gpl,battery,supply_grid_power.p,pv_existing.p,pv_planned_ground.p,pv_planned_roof.p,wind_existing.p,wind_planned_onshore.p,wind_planned_offshore.p,P2Heat_existing.p,P2Heat_planned.p,supply_heat_solid.p,supply_heat_oil.p,supply_heat_gpl.p,battery.p,runtime,provenance
119579294.21999998,96647342.54,24681899.0,73013828.61,1,2.6044519222929914,28.43893947893693,0.8610142766847761,48968.0,185236.6,100000.0,100000.0,70225.806,56000.0,22781.275,40000.0,200000.0,349975137.4453651,68717900.0,67299562.544,254581403.1258005,312867643.000001,340073525.0,252058247.48102072,33214760.703269985,386724322.3277653,87732743.69494002,1941226.50283,20184216.19318999,42031617.79739701,00:05:48,sets_SA_20231108_0857
119771447.3,87433137.94,24216261.0,146248927.066,1,1.4527336156086403,5.089589922946435,0.1018527754112862,48968.0,185236.6,100000.0,100000.0,41772.781,56000.0,0.0,33744.959,158291.97,335690491.20535046,68717900.0,67299562.544,254581403.1258005,312867643.000001,340073525.0,252058247.48102072,86223193.9746901,260170138.32238555,182795898.08935025,0.0,608039.3547199998,35886394.565350994,00:05:57,sets_SA_20231108_0857
120853987.63000004,95292029.68,24003937.0,99883726.4,1,1.9249222983486525,22.00119109909242,0.563537148127573,48968.0,185236.6,100000.0,100000.0,62204.459,56000.0,21874.029,40000.0,200000.0,341080852.2450088,68717900.0,67299562.544,254581403.1258005,312867643.000001,340073525.0,252058247.48102072,42466771.24726996,340735333.82022464,120730634.0744102,2321763.451930003,23542768.236649983,42108826.197407015,00:07:24,sets_SA_20231108_0857
121837324.67,93932895.3,22762645.0,201898268.38,1,0.6359125922748747,8.164627975661716,0.0,48968.0,185236.6,100000.0,100000.0,15064.98,56000.0,23254.541,40000.0,166489.17,317141108.581315,68717900.0,67299562.544,254581403.1258005,312867643.000001,340073525.0,252058247.48102072,158989506.73129004,80808913.79404715,245245517.74079344,5141721.549570008,39611609.76457004,40442185.53516496,00:06:05,sets_SA_20231108_0857
125018192.58,93408163.5,22887985.0,151022001.75,1,2.095552236876224,26.76264142741603,0.4303744645996307,48968.0,185236.6,100000.0,100000.0,55328.322,56000.0,29705.113,40000.0,200000.0,323043730.76376563,68717900.0,67299562.544,254581403.1258005,312867643.000001,340073525.0,252058247.48102072,47026438.45708999,263208296.1850648,182930575.87475035,4909018.811289995,31722940.96562997,42349034.49439301,00:05:39,sets_SA_20231108_0857
114418956.75000004,107780994.1,25746559.0,14947510.41,1,2.1862600995746937,21.871980976892097,0.8606915331543462,48968.0,185236.6,100000.0,100000.0,72361.213,27397.904,38000.0,40000.0,200000.0,361642341.313961,68717900.0,67299562.544,254581403.1358005,312867643.000001,340073525.0,252058247.47459093,34652809.12501004,431350168.8139217,9996907.36856998,4929050.44206,48868334.78426002,41941678.11855802,00:05:40,sets_SA_20231108_0857
104191931.91000004,138212949.9,23583907.0,96309964.9,1,0.2486510401706618,6.233497741899064,0.0125849012784519,48968.0,185236.6,100000.0,72519.252,11721.387,56000.0,30099.912,40000.0,131538.55,330360484.5926684,68717900.0,67299562.544,254581403.1258005,312867643.000001,340073525.0,182790754.8394485,173567681.75191835,62987317.89115252,87214951.31643027,8167907.621499979,197859412.5574898,37993406.48495002,00:06:37,sets_SA_20231108_0857
89814189.11,111401546.948,31911022.0,689686.908,1,1.083782197985567,0.3850558953209173,0.3255657198622049,48968.0,185236.6,100000.0,21490.365,66816.092,0.0,24701.648,40000.0,51000.0,423247740.58124566,68717900.0,67299562.544,254581403.1258005,312867643.000001,340073525.0,54168237.01506357,67644561.4819001,456802775.5970064,0.0,168530.41749999998,5181400.669700003,14656240.56720786,00:06:08,sets_SA_20231108_0857
90553341.79,135323859.2,27523153.0,17590651.208,1,0.0,4.862214282533202,0.694080911389482,48968.0,185236.6,100000.0,29179.563,35893.685,17624.055,38000.0,40000.0,96018.065,386010167.0235508,68717900.0,67299562.544,254581403.1258005,312867643.000001,340073525.0,73549495.69158803,122339011.3801445,272420670.5454525,86194.57702000001,26244383.20205176,108707011.99591523,33354764.342169143,00:06:28,sets_SA_20231108_0857
89650384.533,107059059.5799,30417567.0,107574630.2681,1,0.7521668972980105,0.6210629790593138,0.0,48968.0,185236.6,100000.0,6590.1099,28595.076,56000.0,6922.6638,40000.0,26513.908,410634897.6488596,68717900.0,67299562.544,254581403.1258005,312867643.000001,340073525.0,16610915.534739548,151913145.21820024,242380803.20159465,134341971.2355081,18028.849400000003,1143318.9738600005,9500418.397400066,00:05:55,sets_SA_20231108_0857
