monetary,emissions,indipendence,PM_emissions,monetary.w,emissions.w,indipendence.w,PM_emissions.w,pv_planned_ground,pv_planned_roof,wind_planned_onshore,wind_planned_offshore,P2Heat_planned,supply_heat_solid,supply_heat_oil,supply_heat_gpl,battery,supply_grid_power.p,pv_existing.p,pv_planned_ground.p,pv_planned_roof.p,wind_existing.p,wind_planned_onshore.p,wind_planned_offshore.p,P2Heat_existing.p,P2Heat_planned.p,supply_heat_solid.p,supply_heat_oil.p,supply_heat_gpl.p,battery.p,runtime,provenance
113789355.78,104054777.271,17610711.0,65696588.038,1,2.568912875132033,0.5620493590675046,0.1377418466303657,48968.0,185236.6,100000.0,60592.013,49269.887,56000.0,0.0,26247.853,136836.61,400019867.73450005,59757500.0,58524105.199999966,221385522.47060013,312867643.000001,340073525.0,152727165.2546515,57517864.68370993,389956800.0010008,82126241.32822001,0.0,196362.1136,24278388.47858998,00:06:25,sets_SA_20231108_0857
74608798.56,190017766.0,19142208.0,38469380.6,1,0.0304351943760954,5.662137121143836,0.1924188566426601,48968.0,97316.726,100000.0,0.0,7747.3019,45770.438,38000.0,40000.0,40194.188,441950519.0238505,59757500.0,58524105.199999966,116308085.05342226,312867643.000001,340073525.0,0.0,182409028.2860892,56611639.75368647,1054831.4513500005,57968597.30893997,231753173.0731308,13782860.920307629,00:07:06,sets_SA_20231108_0857
130800713.389,93533688.661,15636522.0,195665319.5294,1,1.235488098158529,12.221259721913652,0.0031175448248212,48968.0,185236.6,100000.0,76731.658,28711.382,56000.0,6806.3579,40000.0,165274.15,355490067.4656928,59757500.0,58524105.199999966,221385522.47060013,312867643.000001,340073525.0,193408472.4723196,119143629.4197302,162292211.6773165,243987789.5452096,40856.76359,4332781.121679999,29209489.969555024,00:06:22,sets_SA_20231108_0857
74296417.35,134737972.54,22297247.0,1490627.652,1,0.5618558005674281,2.1869101921246994,0.2998449275774936,48968.0,95369.255,100000.0,0.0,56878.361,0.0,34639.379,40000.0,25516.591,506937226.85143656,59757500.0,58524105.199999966,113980565.20476992,312867643.000001,340073525.0,0.0,95135446.00283,423101155.6020061,0.0,414205.9003,11146460.939600024,7513567.110357993,00:05:56,sets_SA_20231108_0857
81234254.88,128314040.77,21049851.0,1896735.573,1,0.5382496350432767,3.5201437981718264,0.1723470344586773,48968.0,149011.73,100000.0,0.0,53517.74,0.0,38000.0,40000.0,51000.0,479153566.2620847,59757500.0,58524105.199999966,178091370.7829707,312867643.000001,340073525.0,0.0,105628931.38118972,409458866.0330138,0.0,545109.1462000003,14164362.627190018,14083431.259333009,00:05:59,sets_SA_20231108_0857
127143107.48,147358386.0,15038930.0,37341766.4,1,0.6108368875589157,21.657025981364097,0.2618010414708473,48968.0,185236.6,100000.0,100000.0,41391.133,31570.905,38000.0,40000.0,200000.0,346101129.36468005,59757500.0,58524105.199999966,221385522.47060013,312867643.000001,340073525.0,252058247.48102072,73943217.20493989,224941769.901466,10894167.863139994,54063544.27056998,165954569.9178838,31726983.84701699,00:06:26,sets_SA_20231108_0857
124724976.914,138499716.0,15648664.0,22226927.412,1,0.3107661349919908,19.8991609422852,0.8558006431253808,48968.0,185236.6,100000.0,100000.0,46417.678,7100.0626,38000.0,40000.0,187000.0,361622491.7737609,59757500.0,58524105.199999966,221385522.47060013,312867643.000001,340073525.0,252058247.48102072,68610232.38377984,290410224.3836901,18816.51625,40474485.85073001,130283512.12837002,31414475.912040982,00:05:43,sets_SA_20231108_0857
114309638.18,111672818.05,17974341.0,2328982.79,1,0.2651730621073803,16.237288024861744,1.814183088475142,48968.0,185236.6,100000.0,74976.342,64231.724,0.0,27286.016,40000.0,148370.81,411789438.0641015,59757500.0,58524105.199999966,221385522.47060013,312867643.000001,340073525.0,188984052.80788875,67562109.49011004,444218526.2875364,0.0,1692657.2384000008,16323975.654189996,28900840.92300799,00:06:15,sets_SA_20231108_0857
131671604.72,103179367.8,14982251.0,218113223.79,1,0.6000457838913906,16.663292450267182,0.0,48968.0,185236.6,100000.0,76509.645,13584.755,56000.0,24613.834,40000.0,173515.47,341986098.2446701,59757500.0,58524105.199999966,221385522.47060013,312867643.000001,340073525.0,192848870.44251728,146314337.32903972,64083867.23331508,263763344.49525905,6276458.161759989,49359261.24869997,30993024.151048988,00:06:49,sets_SA_20231108_0857
70359144.58199999,139693383.64,22842880.0,2264521.3752,1,0.4690574711501284,2.376778759242634,0.1400034604410559,48968.0,68718.661,100000.0,0.0,50722.981,2794.7586,38000.0,40000.0,22610.336,520159282.8750919,59757500.0,58524105.199999966,82129107.32642186,312867643.000001,340073525.0,0.0,115055822.68118966,397204411.08201903,4439.5848000000005,685756.8943399996,16846837.155710053,6727045.221602023,00:06:40,sets_SA_20231108_0857
