monetary,emissions,indipendence,PM_emissions,monetary.w,emissions.w,indipendence.w,PM_emissions.w,pv_planned_ground,pv_planned_roof,wind_planned_onshore,wind_planned_offshore,P2Heat_planned,supply_heat_solid,supply_heat_oil,supply_heat_gpl,battery,supply_grid_power.p,pv_existing.p,pv_planned_ground.p,pv_planned_roof.p,wind_existing.p,wind_planned_onshore.p,wind_planned_offshore.p,P2Heat_existing.p,P2Heat_planned.p,supply_heat_solid.p,supply_heat_oil.p,supply_heat_gpl.p,battery.p,runtime,provenance
103329244.1638,91960164.9,12631042.0,6505049.196326,1,0.1841515539587792,13.27741411436168,0.9975763412360537,48968.0,185236.6,100000.0,66368.227,53395.314,122.42572,38000.0,40000.0,159696.54,303919306.0619415,72421550.0,70926769.208,268302433.7338001,350458617.6000004,380933280.0,195282651.39855903,84744209.9910801,394875697.193825,122.42572,8003890.640690003,42173347.80349,34442500.057741,00:06:34,sets_SA_20231108_0857
89597750.855,86901697.93800001,13761106.0,127780841.7581,1,0.4508052725223299,4.831960367274168,0.0,48968.0,163145.15,100000.0,8572.4549,26036.214,56000.0,9481.5259,40000.0,85502.104,329822032.9469542,72421550.0,70926769.208,236304493.16169983,350458617.6000004,380933280.0,25223691.936655853,155936564.16848937,210253563.9107591,159067119.25381714,30723.833100000003,4509296.623220002,24050789.273849063,00:07:44,sets_SA_20231108_0857
57546181.0,190915331.0,16851497.0,46677027.7,1,0.0,3.6839353605590297,0.0,48968.0,0.0,100000.0,0.0,0.0,53517.74,38000.0,40000.0,11118.585,401126885.4456461,72421550.0,70926769.208,0.0,350458617.6000004,380933280.0,0.0,192299708.93879032,0.0,4195499.7844400015,73141397.61410023,260160663.3214197,5205238.320767981,00:06:34,sets_SA_20231108_0857
116568376.163,107742123.9,10829133.0,19899748.2516,1,0.0,22.26025697379832,1.322443360810076,48968.0,185236.6,100000.0,100000.0,48712.599,4805.141,38000.0,40000.0,200000.0,261358102.25842977,72421550.0,70926769.208,268302433.7338001,350458617.6000004,380933280.0,294241174.0805473,77154725.29115008,299621399.5483107,9558.7582,34261349.30325995,118750236.30401002,37419360.13398498,00:06:21,sets_SA_20231108_0857
78480175.715,96083327.669,15529601.0,74204621.71989,1,1.0140331369015974,0.0428634450791358,0.0,48968.0,129972.19,100000.0,4800.3169,32428.183,56000.0,3089.557,40000.0,51000.0,368738870.5786386,72421550.0,70926769.208,188255742.16567048,350458617.6000004,380933280.0,14124508.791092072,155630375.9529619,280668295.5359988,92663169.82894476,5029.1816,830398.0015499999,15623673.641339336,00:07:03,sets_SA_20231108_0857
101432615.97,80480489.5,12538011.0,94048030.79,1,0.5696759099147122,8.558425426407378,0.0595748813814048,48968.0,185236.6,100000.0,38872.889,39174.047,56000.0,0.0,36343.693,137235.29,302192827.9158106,72421550.0,70926769.208,268302433.7338001,350458617.6000004,380933280.0,114380044.91421996,108409895.1986152,297429780.687991,116395771.52282004,0.0,7561819.721059995,31604389.48777001,00:07:57,sets_SA_20231108_0857
96930647.69,113006202.72,11822069.0,65204436.71,1,0.3392060338522525,10.22139078689954,0.0426731918428928,48968.0,185236.6,100000.0,35139.343,28625.931,56000.0,6891.8092,40000.0,139610.28,284608411.3710195,72421550.0,70926769.208,268302433.7338001,350458617.6000004,380933280.0,103394415.65713246,132779638.44075812,186065948.54692137,56700498.52601,1187804.5275700015,153063379.83135018,32738044.604124952,00:08:16,sets_SA_20231108_0857
75828186.64999999,133071395.2,14218704.0,22489595.79,1,0.1470506479211412,5.994583986470868,0.1350041162876892,48968.0,143563.72,100000.0,4810.1727,23269.03,30248.71,38000.0,40000.0,72862.504,341728170.6579528,72421550.0,70926769.208,207942147.3471907,350458617.6000004,380933280.0,14153508.555423852,170823005.24025002,186923027.673715,295281.8956,25121684.787859976,146634270.74455225,22904099.91983813,00:07:32,sets_SA_20231108_0857
62399774.74999999,123023910.84,18009594.0,6085869.436000001,1,0.0,4.520210528666895,0.5736901267606731,48968.0,53507.999,100000.0,0.0,37923.315,15594.425,38000.0,40000.0,32855.352,427412895.9786449,72421550.0,70926769.208,77502645.8512093,350458617.6000004,380933280.0,2.1923363500000004e-09,161543985.55547047,321465210.3758357,69246.34431,2838635.942939999,43880190.79926996,12913661.997301064,00:06:51,sets_SA_20231108_0857
98308038.45,123747222.6,11347454.0,95077487.94,1,0.2053799392420596,12.262806368615085,0.0,48968.0,185236.6,100000.0,33351.113,11683.842,56000.0,25706.093,40000.0,150270.93,270049540.44858074,72421550.0,70926769.208,268302433.7338001,350458617.6000004,380933280.0,98132706.84014004,174260625.38796893,59567057.07210086,84871385.94556032,6174509.56929001,204923694.13001007,35171057.40576603,00:06:59,sets_SA_20231108_0857
