monetary,emissions,indipendence,PM_emissions,monetary.w,emissions.w,indipendence.w,PM_emissions.w,pv_planned_ground,pv_planned_roof,wind_planned_onshore,wind_planned_offshore,P2Heat_planned,supply_heat_solid,supply_heat_oil,supply_heat_gpl,battery,supply_grid_power.p,pv_existing.p,pv_planned_ground.p,pv_planned_roof.p,wind_existing.p,wind_planned_onshore.p,wind_planned_offshore.p,P2Heat_existing.p,P2Heat_planned.p,supply_heat_solid.p,supply_heat_oil.p,supply_heat_gpl.p,battery.p,runtime,provenance
124529271.6,108288865.1,16869894.0,10931646.5,1,0.8384969974656947,16.440375935198894,0.496854571615405,48968.0,185236.6,100000.0,100000.0,57690.086,0.0,38000.0,40000.0,200000.0,333095295.3144843,59757500.0,58170661.781999946,220134102.18460009,316080959.2000001,343030540.237,240731644.5572151,55224816.026548,390121705.5142707,0.0,10554232.719920006,73896515.35959001,35383031.82602999,00:06:03,sets_SA_20231108_0857
128218999.35,135241907.0,14985840.0,37453492.4,1,1.0365649206496994,30.0,0.4935145815115558,48968.0,185236.6,100000.0,100000.0,50601.076,38001.151,38000.0,40000.0,200000.0,295698370.42461,59757500.0,58171547.90819994,220135874.4366001,316080959.2000001,343033740.77400005,240731644.5572151,50256042.732760005,245301291.97477543,10415383.398110002,54867986.89890595,168956563.85875997,36387933.594895005,00:06:02,sets_SA_20231108_0857
125227829.29000002,99906811.8,17479497.0,5343522.62,1,0.8436954585926295,19.69335378896512,1.2213498289975893,48968.0,185236.6,100000.0,100000.0,67506.138,0.0,24011.602,40000.0,200000.0,343593266.9704716,59757500.0,58169434.77541994,220131844.83760008,316080959.2000001,343027527.721,240731644.5559449,45783294.132258005,442679646.8302711,0.0,3935770.9623699966,37398558.02010998,35716675.31750001,00:07:48,sets_SA_20231108_0857
129436852.64,120664901.0,14988848.0,73678834.07,1,0.7599746284446296,19.9337934950457,0.2468609728855943,48968.0,185236.6,100000.0,100000.0,43196.796,56000.0,26765.365,40000.0,200000.0,295992478.0879598,59757500.0,58171771.069799945,220137725.5076001,316080959.2000001,343037442.913,240731644.5572151,66434818.40146957,226667711.87569544,64358945.92485994,5120279.58726001,167215515.42801002,36042141.53001548,00:06:03,sets_SA_20231108_0857
116568059.26,163819300.0,15335759.0,48710525.4,1,0.0,7.775437066617727,0.0943296174352632,48968.0,176005.53,100000.0,98115.039,0.0,53517.74,38000.0,40000.0,117647.06,302363231.4816651,59330650.0,58106065.38399994,208850453.58661047,315087037.20000005,342485910.0,236120715.2690721,196521084.69138047,0.0,7888169.403908005,90729319.87587002,234658695.610253,29914760.866618045,00:06:50,sets_SA_20231108_0857
129550551.12700002,89105802.774,17472495.0,31230150.618,1,3.0,30.0,0.7730038118874155,48968.0,185236.6,100000.0,100000.0,77945.556,56000.0,0.0,4215.3515,200000.0,342516472.5072864,59757500.0,58168239.72049995,220130809.11660013,316080959.2000001,343027382.87499994,240731534.6858851,25906146.167039946,464664690.66701454,39022501.28303999,0.0,203932.4405899999,34074652.03358199,00:05:29,sets_SA_20231108_0857
127893036.846,83473064.47700001,16513947.0,182266903.8683,1,0.8885276559312617,2.7632083302165285,0.0,48968.0,177244.82,100000.0,91993.177,24398.298,56000.0,11119.442,40000.0,98780.991,319421033.9808722,59757500.0,58168734.49429994,210640222.83786032,316080959.2000001,343038947.941,221432530.4020348,141476653.8997207,158981954.57351953,227667230.7973613,40477.2779,1630954.2215999996,21762681.908826992,00:06:02,sets_SA_20231108_0857
128896980.08,113685644.38,15593597.0,53725250.98,1,1.136136059019884,24.42901188241776,0.3927737133278096,48968.0,185236.6,100000.0,100000.0,54888.014,56000.0,20512.557,40000.0,200000.0,309447463.3605033,59757500.0,58171012.04099994,220134802.7026001,316080959.2000001,343031766.145,240731644.5572151,47049959.57511598,305559278.2987253,46053566.26781994,3040783.817790002,128093681.04906984,35560006.094327,00:05:35,sets_SA_20231108_0857
119015232.74,119383927.3,16679135.0,16958550.527,1,0.1211957327109094,8.662068963533834,0.5957914284242265,48968.0,185236.6,100000.0,100000.0,39416.821,14100.919,38000.0,40000.0,136000.0,329908629.60762566,59757500.0,58170681.968199946,220138670.5006001,316080959.2000001,343039332.90200007,240731644.5572151,102552557.38426632,296661791.64179105,58751.70309,19138574.95475997,111385595.03126185,31568468.894265007,00:06:23,sets_SA_20231108_0857
91477400.45000002,188247216.0,19114393.0,61359756.0,1,0.0,5.525154429573668,0.0,48968.0,126026.81,100000.0,27954.6,0.0,53517.74,38000.0,40000.0,69314.921,371940096.9512594,59330650.0,58106065.38399994,149545049.57338998,315087037.20000005,342485910.0,67274702.99240406,160570830.5261204,0.0,19777736.545419984,98571536.24075018,250877166.2633596,21379478.763170943,00:06:46,sets_SA_20231108_0857
